unit_id,target,revision,freeze_backbone,fewshot_fraction,n_covariates,covariates,context_length,num_epochs,batch_size,learning_rate,train_seconds,n_train_windows,mae,mse,rmse,mape,smape,run_id,A,B,C,elapsed_seconds
0,target_import,512-96-ft-l1-r2.1,True,0.2,0,[],512,10,16,0.001,0.5,28,150.09487915039062,33751.0546875,183.71460118210527,64.60430908203125,49.05137252807617,1,1.0,-1.0,1.0,3.1
0,target_import,512-96-ft-r2.1,False,0.2,0,[],512,10,16,0.001,0.3,28,175.37461853027344,42906.31640625,207.13839915923364,66.98336791992188,52.61963653564453,2,-1.0,1.0,1.0,0.7
0,target_import,512-96-ft-r2.1,True,0.05,0,[],512,10,16,0.001,0.1,7,165.24819946289062,38332.984375,195.78811091330343,67.51802825927734,46.53205871582031,3,-1.0,-1.0,-1.0,0.5
0,target_import,512-96-ft-l1-r2.1,False,0.2,0,[],512,10,16,0.001,0.4,28,156.9040069580078,31530.087890625,177.56713629110823,72.85301971435547,48.84994125366211,4,1.0,1.0,1.0,0.7
0,target_import,512-96-ft-l1-r2.1,False,0.05,0,[],512,10,16,0.001,0.2,7,355.8814392089844,142182.421875,377.07084463665444,164.51779174804688,83.92410278320312,5,1.0,1.0,-1.0,0.5
0,target_import,512-96-ft-r2.1,False,0.05,0,[],512,10,16,0.001,0.2,7,259.8616638183594,85495.4375,292.3960285298007,123.72394561767578,68.90097045898438,6,-1.0,1.0,-1.0,0.6
0,target_import,512-96-ft-r2.1,True,0.2,0,[],512,10,16,0.001,0.2,28,273.101806640625,93368.875,305.5632095000967,136.84341430664062,71.34857177734375,7,-1.0,-1.0,1.0,0.5
0,target_import,512-96-ft-r2.1,True,0.125,0,[],512,10,16,0.001,0.2,18,204.679931640625,57721.203125,240.25237381761704,95.65145874023438,57.79241943359375,8,0.0,0.0,0.0,0.7
0,target_import,512-96-ft-l1-r2.1,True,0.05,0,[],512,10,16,0.001,0.1,7,216.8886260986328,55293.5,235.14569951415228,113.63313293457031,64.56139373779297,9,1.0,-1.0,-1.0,0.5
0,target_import,512-96-ft-r2.1,True,0.125,0,[],512,10,16,0.001,0.2,18,230.958251953125,70437.15625,265.3999929351921,106.82563781738281,62.49527359008789,10,0.0,0.0,0.0,0.5
