unit_id,target,model,metric,value
3,target_import,seasonal_naive,mape,26.263797760009766
3,target_import,seasonal_naive,smape,18.042226791381836
4,target_export,ttm2_zero,mae,154.98988342285156
4,target_export,ttm2_zero,mse,65089.34765625
4,target_export,ttm2_zero,rmse,255.12614067603891
4,target_export,ttm2_zero,mape,15101.2158203125
4,target_export,ttm2_zero,smape,112.08621215820312
4,target_export,persistence,mae,389.2801818847656
4,target_export,persistence,mse,371243.5
4,target_export,persistence,rmse,609.2975463597404
4,target_export,persistence,mape,100.0
4,target_export,persistence,smape,154.16665649414062
4,target_export,seasonal_naive,mae,178.0786895751953
4,target_export,seasonal_naive,mse,91224.875
4,target_export,seasonal_naive,rmse,302.0345592808876
4,target_export,seasonal_naive,mape,63.09965896606445
4,target_export,seasonal_naive,smape,81.56048583984375
4,target_import,ttm2_zero,mae,187.2468719482422
4,target_import,ttm2_zero,mse,49212.73046875
4,target_import,ttm2_zero,rmse,221.8394249648831
4,target_import,ttm2_zero,mape,39.856781005859375
4,target_import,ttm2_zero,smape,29.124608993530273
4,target_import,persistence,mae,228.2825164794922
4,target_import,persistence,mse,85465.5078125
4,target_import,persistence,rmse,292.34484399848753
4,target_import,persistence,mape,58.418731689453125
4,target_import,persistence,smape,35.95294952392578
4,target_import,seasonal_naive,mae,129.7240447998047
4,target_import,seasonal_naive,mse,43772.390625
4,target_import,seasonal_naive,rmse,209.21852361824944
4,target_import,seasonal_naive,mape,31.898149490356445
4,target_import,seasonal_naive,smape,21.144079208374023
5,target_export,ttm2_zero,mae,946.2887573242188
5,target_export,ttm2_zero,mse,2184848.75
5,target_export,ttm2_zero,rmse,1478.123387948381
5,target_export,ttm2_zero,mape,740.2772216796875
5,target_export,ttm2_zero,smape,107.170166015625
5,target_export,persistence,mae,2589.431640625
5,target_export,persistence,mse,16108859.0
5,target_export,persistence,rmse,4013.58430832093
5,target_export,persistence,mape,400.1930236816406
5,target_export,persistence,smape,163.93637084960938
5,target_export,seasonal_naive,mae,1065.1741943359375
5,target_export,seasonal_naive,mse,3233706.75
5,target_export,seasonal_naive,rmse,1798.251025302085
5,target_export,seasonal_naive,mape,135.321044921875
5,target_export,seasonal_naive,smape,84.18159484863281
5,target_import,ttm2_zero,mae,1195.4678955078125
5,target_import,ttm2_zero,mse,2467578.25
5,target_import,ttm2_zero,rmse,1570.8527142924636
5,target_import,ttm2_zero,mape,23.068117141723633
5,target_import,ttm2_zero,smape,18.602542877197266
5,target_import,persistence,mae,1330.538330078125
5,target_import,persistence,mse,2794632.25
5,target_import,persistence,rmse,1671.715361537364
5,target_import,persistence,mape,25.546546936035156
5,target_import,persistence,smape,20.481019973754883
5,target_import,seasonal_naive,mae,1023.6271362304688
5,target_import,seasonal_naive,mse,2769504.25
5,target_import,seasonal_naive,rmse,1664.1827573917476
5,target_import,seasonal_naive,mape,20.705110549926758
5,target_import,seasonal_naive,smape,15.772424697875977
6,target_export,ttm2_zero,mae,10.62182331085205
6,target_export,ttm2_zero,mse,225.2427978515625
6,target_export,ttm2_zero,rmse,15.00809107953315
6,target_export,ttm2_zero,mape,88.15495300292969
6,target_export,ttm2_zero,smape,87.69747924804688
6,target_export,persistence,mae,34.85322189331055
6,target_export,persistence,mse,2722.037353515625
6,target_export,persistence,rmse,52.1731478206522
6,target_export,persistence,mape,123.74259185791016
6,target_export,persistence,smape,132.8484344482422
6,target_export,seasonal_naive,mae,14.81826114654541
6,target_export,seasonal_naive,mse,539.3836059570312
6,target_export,seasonal_naive,rmse,23.224633602212787
6,target_export,seasonal_naive,mape,69.87097930908203
6,target_export,seasonal_naive,smape,81.51050567626953
6,target_import,ttm2_zero,mae,4.170286178588867
6,target_import,ttm2_zero,mse,26.283056259155273
6,target_import,ttm2_zero,rmse,5.126700328589069
6,target_import,ttm2_zero,mape,58.595115661621094
6,target_import,ttm2_zero,smape,46.189735412597656
6,target_import,persistence,mae,5.291135311126709
6,target_import,persistence,mse,34.968746185302734
6,target_import,persistence,rmse,5.913437763712639
6,target_import,persistence,mape,105.37078094482422
6,target_import,persistence,smape,58.17919921875
6,target_import,seasonal_naive,mae,1.7824687957763672
6,target_import,seasonal_naive,mse,4.7527241706848145
6,target_import,seasonal_naive,rmse,2.1800743498066333
6,target_import,seasonal_naive,mape,28.01412582397461
6,target_import,seasonal_naive,smape,26.594257354736328
7,target_export,ttm2_zero,mae,38.068939208984375
7,target_export,ttm2_zero,mse,2761.236328125
7,target_export,ttm2_zero,rmse,52.54746738069305
7,target_export,ttm2_zero,mape,197.08944702148438
7,target_export,ttm2_zero,smape,95.95026397705078
7,target_export,persistence,mae,136.1783905029297
7,target_export,persistence,mse,41007.16796875
7,target_export,persistence,rmse,202.5022665768213
7,target_export,persistence,mape,76.71651458740234
7,target_export,persistence,smape,144.11415100097656
7,target_export,seasonal_naive,mae,52.78779220581055
7,target_export,seasonal_naive,mse,6650.96484375
7,target_export,seasonal_naive,rmse,81.5534477735307
7,target_export,seasonal_naive,mape,48.6106071472168
7,target_export,seasonal_naive,smape,71.11373138427734
7,target_import,ttm2_zero,mae,15.208572387695312
7,target_import,ttm2_zero,mse,336.1100158691406
7,target_import,ttm2_zero,rmse,18.33330346307344
7,target_import,ttm2_zero,mape,55.382198333740234
7,target_import,ttm2_zero,smape,45.96854782104492
7,target_import,persistence,mae,25.1737060546875
7,target_import,persistence,mse,898.4191284179688
7,target_import,persistence,rmse,29.97364055996483
7,target_import,persistence,mape,213.6562042236328
7,target_import,persistence,smape,70.45126342773438
7,target_import,seasonal_naive,mae,8.230395317077637
7,target_import,seasonal_naive,mse,108.541259765625
7,target_import,seasonal_naive,rmse,10.418313671877277
7,target_import,seasonal_naive,mape,37.47266387939453
7,target_import,seasonal_naive,smape,32.52535629272461
8,target_export,ttm2_zero,mae,19.563703536987305
8,target_export,ttm2_zero,mse,758.1298217773438
8,target_export,ttm2_zero,rmse,27.53415736457798
8,target_export,ttm2_zero,mape,35624040.0
8,target_export,ttm2_zero,smape,103.67689514160156
8,target_export,persistence,mae,74.1267318725586
8,target_export,persistence,mse,12921.7841796875
8,target_export,persistence,rmse,113.67402596762156
8,target_export,persistence,mape,79.16617584228516
8,target_export,persistence,smape,158.33132934570312
8,target_export,seasonal_naive,mae,27.97491455078125
8,target_export,seasonal_naive,mse,1976.2347412109375
8,target_export,seasonal_naive,rmse,44.454861839971315
8,target_export,seasonal_naive,mape,46.58121109008789
8,target_export,seasonal_naive,smape,76.89706420898438
8,target_import,ttm2_zero,mae,14.264313697814941
8,target_import,ttm2_zero,mse,266.9265441894531
8,target_import,ttm2_zero,rmse,16.33788677245173
8,target_import,ttm2_zero,mape,26.045387268066406
8,target_import,ttm2_zero,smape,22.105003356933594
8,target_import,persistence,mae,41.86066436767578
8,target_import,persistence,mse,2067.240966796875
8,target_import,persistence,rmse,45.4669216771586
8,target_import,persistence,mape,88.92829132080078
8,target_import,persistence,smape,55.070106506347656
8,target_import,seasonal_naive,mae,13.240344047546387
8,target_import,seasonal_naive,mse,317.48687744140625
8,target_import,seasonal_naive,rmse,17.81816144952689
8,target_import,seasonal_naive,mape,30.276212692260742
8,target_import,seasonal_naive,smape,22.59864044189453
9,target_export,ttm2_zero,mae,91.7035140991211
9,target_export,ttm2_zero,mse,17499.052734375
9,target_export,ttm2_zero,rmse,132.2839851772504
