model,target,mae,rmse,smape,mape
Persistence,target_export,27310.318359375,40245.722058375344,151.1117401123047,97.26467895507812
Persistence,target_import,6562.94384765625,8529.11155982849,27.551179885864254,41.033721923828125
Seasonal Naive,target_export,14545.3330078125,21074.453919378317,77.25372314453125,57.818359375
Seasonal Naive,target_import,5141.36572265625,7284.837952899158,22.279687881469727,32.68403625488281
TTM2 zero-shot (L2),target_export,11934.8515625,16957.090316442853,105.15955352783205,158.88076782226562
TTM2 zero-shot (L2),target_import,5704.26513671875,7540.847697706141,23.67060089111328,33.245391845703125
FlowState r1.0 ctx2048,target_export,9862.15625,14825.811006484602,80.51298522949219,81.40375518798828
FlowState r1.0 ctx2048,target_import,4542.08544921875,6673.954449949445,20.00565528869629,28.528553009033203
