unit_id,target,model,metric,value
12,target_import,flowstate,mse,433.8883056640625
12,target_import,flowstate,rmse,20.82998573365
12,target_import,flowstate,mape,36.407684326171875
12,target_import,flowstate,smape,34.61891555786133
13,target_export,flowstate,mae,13.286735534667969
13,target_export,flowstate,mse,551.0038452148438
13,target_export,flowstate,rmse,23.473471094298
13,target_export,flowstate,mape,72.48329162597656
13,target_export,flowstate,smape,85.70095825195312
13,target_import,flowstate,mae,9.689488410949707
13,target_import,flowstate,mse,143.4814453125
13,target_import,flowstate,rmse,11.978374067981848
13,target_import,flowstate,mape,159.81332397460938
13,target_import,flowstate,smape,48.735721588134766
14,target_export,flowstate,mae,145.29685974121094
14,target_export,flowstate,mse,57665.96484375
14,target_export,flowstate,rmse,240.13738743425606
14,target_export,flowstate,mape,2736796.0
14,target_export,flowstate,smape,97.36209106445312
14,target_import,flowstate,mae,166.0406036376953
14,target_import,flowstate,mse,41535.86328125
14,target_import,flowstate,rmse,203.8034918279125
14,target_import,flowstate,mape,72.64232635498047
14,target_import,flowstate,smape,38.622413635253906
15,target_export,flowstate,mae,24.10139274597168
15,target_export,flowstate,mse,1587.4595947265625
15,target_export,flowstate,rmse,39.84293657257911
15,target_export,flowstate,mape,687.8759155273438
15,target_export,flowstate,smape,94.5986328125
15,target_import,flowstate,mae,4.418416500091553
15,target_import,flowstate,mse,28.286874771118164
15,target_import,flowstate,rmse,5.318540661790428
15,target_import,flowstate,mape,50.632564544677734
15,target_import,flowstate,smape,40.520050048828125
16,target_export,flowstate,mae,69.94879913330078
16,target_export,flowstate,mse,12786.65625
16,target_export,flowstate,rmse,113.07809801194925
16,target_export,flowstate,mape,212.44528198242188
16,target_export,flowstate,smape,86.77298736572266
16,target_import,flowstate,mae,8.521061897277832
16,target_import,flowstate,mse,109.59283447265625
16,target_import,flowstate,rmse,10.468659631139808
16,target_import,flowstate,mape,36.7767333984375
16,target_import,flowstate,smape,32.18675994873047
17,target_export,flowstate,mae,155.42494201660156
17,target_export,flowstate,mse,89510.15625
17,target_export,flowstate,rmse,299.1824798513442
17,target_export,flowstate,mape,134.27859497070312
17,target_export,flowstate,smape,127.51119995117188
17,target_import,flowstate,mae,274.6108703613281
17,target_import,flowstate,mse,127702.1875
17,target_import,flowstate,rmse,357.3544284040706
17,target_import,flowstate,mape,1710.9141845703125
17,target_import,flowstate,smape,68.53483581542969
18,target_export,flowstate,mae,133.41978454589844
18,target_export,flowstate,mse,54293.08203125
18,target_export,flowstate,rmse,233.00875955905607
18,target_export,flowstate,mape,451.5774230957031
18,target_export,flowstate,smape,104.92939758300781
18,target_import,flowstate,mae,157.2023162841797
18,target_import,flowstate,mse,43112.94140625
18,target_import,flowstate,rmse,207.63656086115952
18,target_import,flowstate,mape,44.995784759521484
18,target_import,flowstate,smape,28.69931411743164
19,target_export,flowstate,mae,41.59489822387695
19,target_export,flowstate,mse,3759.773193359375
19,target_export,flowstate,rmse,61.316989434897856
19,target_export,flowstate,mape,51.08000564575195
19,target_export,flowstate,smape,65.92432403564453
19,target_import,flowstate,mae,11.465583801269531
19,target_import,flowstate,mse,214.49864196777344
19,target_import,flowstate,rmse,14.645772153347648
19,target_import,flowstate,mape,41.668060302734375
19,target_import,flowstate,smape,32.806678771972656
20,target_export,flowstate,mae,133.1037139892578
20,target_export,flowstate,mse,39505.22265625
20,target_export,flowstate,rmse,198.75920772696293
20,target_export,flowstate,mape,85.81100463867188
20,target_export,flowstate,smape,68.5767593383789
20,target_import,flowstate,mae,23.915884017944336
20,target_import,flowstate,mse,925.6768188476562
20,target_import,flowstate,rmse,30.42493745018478
20,target_import,flowstate,mape,34.02857971191406
20,target_import,flowstate,smape,30.251615524291992
21,target_export,flowstate,mae,25.821969985961914
21,target_export,flowstate,mse,2111.60205078125
21,target_export,flowstate,rmse,45.952171339135326
21,target_export,flowstate,mape,52.54759979248047
21,target_export,flowstate,smape,97.79328918457031
21,target_import,flowstate,mae,48.185909271240234
21,target_import,flowstate,mse,4246.03857421875
21,target_import,flowstate,rmse,65.16163421998216
21,target_import,flowstate,mape,196.94961547851562
21,target_import,flowstate,smape,39.212371826171875
22,target_export,flowstate,mae,37.0267219543457
